Site,CIMMYTID,YLD
HAU-Hisar,GID9291320,6.135185979
HAU-Hisar,GID9291337,5.492761507
HAU-Hisar,GID9291462,6.554516308
HAU-Hisar,GID9291538,5.27492756
HAU-Hisar,GID9291629,6.353445869
HAU-Hisar,GID9292004,5.513766752
HAU-Hisar,GID9292006,5.304278287
HAU-Hisar,GID9292142,6.278266819
HAU-Hisar,GID9292174,6.243329764
HAU-Hisar,GID9292175,6.713694528
HAU-Hisar,GID9292377,6.074477249
HAU-Hisar,GID9292459,5.389313062
HAU-Hisar,GID9292535,5.711522327
HAU-Hisar,GID9292646,5.518741771
HAU-Hisar,GID9292699,6.173068761
HAU-Hisar,GID9292868,6.274618728
HAU-Hisar,GID9292969,5.649357755
HAU-Hisar,GID9293003,6.138028904
HAU-Hisar,GID9293010,6.147675651
HAU-Hisar,GID9293142,5.928063047
HAU-Hisar,GID9293151,5.016492497
HAU-Hisar,GID9293206,5.428887808
HAU-Hisar,GID9293211,5.938425338
HAU-Hisar,GID9293212,5.944426921
HAU-Hisar,GID9293325,5.678736349
HAU-Hisar,GID9293413,5.602550252
HAU-Hisar,GID9293625,5.505937643
IARI-Delhi,GID9080801,5.651693534
IARI-Delhi,GID9080807,5.566580943
IARI-Delhi,GID9080809,5.663727511
IARI-Delhi,GID9080833,6.139586621
IARI-Delhi,GID9080834,6.094330242
IARI-Delhi,GID9080841,5.812862782
IARI-Delhi,GID9080875,6.450914179
IARI-Delhi,GID9080921,5.471464077
IARI-Delhi,GID9080922,5.904835588
IARI-Delhi,GID9081036,5.808506015
IARI-Delhi,GID9081224,5.661650026
IARI-Delhi,GID9081298,5.712717913
IARI-Delhi,GID9081347,5.802329845
IARI-Delhi,GID9081482,6.207776773
IARI-Delhi,GID9081587,6.480455285
IARI-Delhi,GID9081767,7.062906373
IARI-Delhi,GID9081781,5.368076981
IARI-Delhi,GID9081895,5.811412325
IARI-Delhi,GID9082176,6.447804448
IARI-Delhi,GID9082216,5.89098715
IARI-Delhi,GID9082445,5.892480338
IARI-Delhi,GID9082520,5.136443249
IARI-Delhi,GID9082954,5.763483695
IARI-Delhi,GID9082978,5.825058363
IARI-Delhi,GID9083000,5.627975294
IARI-Delhi,GID9083186,5.739693301
IARI-Delhi,GID9083234,6.473080336
IARI-Delhi,GID9083237,5.586896606
IARI-Delhi,GID9083247,6.031176215
IARI-Delhi,GID9083250,5.846129872
IARI-Delhi,GID9083401,5.868313702
IARI-Delhi,GID9083493,6.055419835
IARI-Delhi,GID9083546,5.160465054
IARI-Delhi,GID9083603,6.632033535
IARI-Delhi,GID9083675,5.663231474
IARI-Delhi,GID9083677,5.72727979
IARI-Delhi,GID9083754,5.67227055
IARI-Delhi,GID9083763,5.541142909
IARI-Delhi,GID9083998,5.639220017
IARI-Delhi,GID9084006,5.577300691
IARI-Delhi,GID9084473,6.348704964
IARI-Delhi,GID9084484,6.500237269
IARI-Delhi,GID9084526,5.256135776
IARI-Delhi,GID9084554,5.691926105
IARI-Delhi,GID9084742,5.530631304
IARI-Delhi,GID9085376,6.551540153
IARI-Delhi,GID9085407,5.582868482
IARI-Delhi,GID9085409,5.937986424
IARI-Delhi,GID9085500,5.954621672
